Contaminant,Commodity,Contaminant Level Type,Level,Reference,Link to Reference,Notes
" 3-Monochloropropane-1,2-Diol (3-MCPD)"," Acid-hydrolyzed protein and Asian-style sauces"," Guidance Level"," 1 ppm"," CPG 500.500"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-500500-guidance-levels-3-mcpd-3-chloro-12-propanediol-acid-hydrolyzed-protein-and-asian",
" Dimethylnitrosamine (nitrosodimethylamine)"," Barley malt"," Action Level"," 10 ppb"," CPG�578.500"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-578500-dimethylnitrosamine-dmna-barley-malt",
" Dimethylnitrosamine (nitrosodimethylamine)"," Malt beverages"," Action Level"," 5 ppb"," CPG 510.600"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-510600-dimethylnitrosamine-malt-beverages",
" Hypoglycin A"," Canned ackee, frozen ackee, and other ackee products"," Guidance Level"," 100 ppm"," CPG 550.050"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-550050-canned-ackee-frozen-ackee-and-other-ackee-products-hypoglycin-toxin",
" Methanol (Methyl Alcohol)"," Imported brandy"," Action Level"," 0.35%"," CPG�510.200"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-510200-brandy-containing-methyl-alcohol-food-additive",
" N-Nitrosamines"," Rubber baby bottle nipples"," Action Level"," 10 ppb"," CPG�500.450"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-500450-volatile-n-nitrosamines-rubber-baby-bottle-nipples",
" Polychlorinated Biphenyls (PCB's)"," Red meat"," Action Level"," 3 ppm (fat basis)"," CPG�565.200"," https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cpg-sec-565200-red-meat-adulterated-pcbs",
" Polychlorinated Biphenyls (PCB's)"," Milk"," Tolerance"," 1.5 ppm (fat basis)"," 21 CFR 109.30"," https://www.ecfr.gov/current/title-21/section-109.30",
" Polychlorinated Biphenyls (PCB's)"," Manufactured dairy product"," Tolerance"," 1.5 ppm (fat basis)"," 21 CFR 109.30"," https://www.ecfr.gov/current/title-21/section-109.30",
" Polychlorinated Biphenyls (PCB's)"," Poultry"," Tolerance"," 3 ppm (fat basis)"," 21 CFR 109.30"," https://www.ecfr.gov/current/title-21/section-109.30",
" Polychlorinated Biphenyls (PCB's)"," Eggs"," Tolerance"," 0.3 ppm"," 21 CFR 109.30"," https://www.ecfr.gov/current/title-21/section-109.30",
" Polychlorinated Biphenyls (PCB's)"," Fish and shellfish (edible portion)"," Tolerance"," 2 ppm"," 21 CFR 109.30"," https://www.ecfr.gov/current/title-21/section-109.30",
